date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:16:02	250346/250346	---M-Z	200	added ('OK')	image/svg+xml	etag:%223d1ea-62383440-cc81574fdd3c6e88;gz%22	https://www.bakeryswapes.org/images/icon_tokau_light.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/icon_tokau_light.svg	(from https://www.bakeryswapes.org/earning.html)
18:16:29	867753/867753	---M-Z	200	added ('OK')	image/svg+xml	etag:%22d3da9-62383440-83c48b5da627feb2;gz%22	https://www.bakeryswapes.org/images/icon_soccer.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/icon_soccer.svg	(from https://www.bakeryswapes.org/earning.html)
18:16:30	867028/867028	---M-Z	200	added ('OK')	image/svg+xml	etag:%22d3ad4-62383440-409b2ecbbc3745df;gz%22	https://www.bakeryswapes.org/images/icon_soccer_light.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/icon_soccer_light.svg	(from https://www.bakeryswapes.org/earning.html)
18:16:31	19820/19820	---M-Z	200	added ('OK')	application/x-javascript	etag:%224d6c-62383440-da3e1c787275684e;gz%22	https://www.bakeryswapes.org/index.js	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/index.js	(from https://www.bakeryswapes.org/earning.html)
18:16:31	9384/9384	---M-Z	200	added ('OK')	text/css	etag:%2224a8-62383441-f22aeab700b4698e;gz%22	https://www.bakeryswapes.org/nft.css	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/nft.css	(from https://www.bakeryswapes.org/nft.html)
18:16:32	3786/3786	---M--	200	added ('OK')	image/png	etag:%22e19c5a780e78b5fdc3ff17e5d8bf19ea%22	https://www.bakeryswap.org/images/nft/onAuction.png	C:/My%20Web%20Sites/bakery/www.bakeryswap.org/images/nft/onAuction.png	(from https://www.bakeryswapes.org/nft.html)
18:16:34	2762085/2762085	---MCZ	200	added ('OK')	image/svg+xml	etag:%222a2565-62383440-74cfeb6fc9b6c2d6;gz%22	https://www.bakeryswapes.org/images/icon_gat.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/icon_gat.svg	(from https://www.bakeryswapes.org/earning.html)
18:16:37	664093/664093	---M--	200	added ('OK')	binary/octet-stream	etag:%22070b1426ab856a63be3be2c449071d0a%22	https://d2mzn4jmmon2v7.cloudfront.net/static/nfts/artworks/38cc4b97486b4d4b9a952e8f01b5cb15.gif	C:/My%20Web%20Sites/bakery/d2mzn4jmmon2v7.cloudfront.net/static/nfts/artworks/38cc4b97486b4d4b9a952e8f01b5cb15.gif	(from https://www.bakeryswapes.org/nft.html)
18:16:37	2762140/2762140	---MCZ	200	added ('OK')	image/svg+xml	etag:%222a259c-62383440-9974c75cb63fd6c;gz%22	https://www.bakeryswapes.org/images/icon_gat_light.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/icon_gat_light.svg	(from https://www.bakeryswapes.org/earning.html)
18:16:39	665867/665867	---M--	200	added ('OK')	binary/octet-stream	etag:%22ec76fa24f50455e0df40708cf2ab7807%22	https://d2mzn4jmmon2v7.cloudfront.net/static/nfts/artworks/d3546e752d014dbc84aceb96a08f7433.gif	C:/My%20Web%20Sites/bakery/d2mzn4jmmon2v7.cloudfront.net/static/nfts/artworks/d3546e752d014dbc84aceb96a08f7433.gif	(from https://www.bakeryswapes.org/nft.html)
18:16:39	3128/3128	---M--	200	added ('OK')	image/png	etag:%229b4061c7af8ecd46cd5f762f97514d6a%22	https://www.bakeryswap.org/images/nft/onSale.png	C:/My%20Web%20Sites/bakery/www.bakeryswap.org/images/nft/onSale.png	(from https://www.bakeryswapes.org/nft.html)
18:16:41	664763/664763	---M--	200	added ('OK')	binary/octet-stream	etag:%22cac20284370acf7c04654f53c95dfa41%22	https://d2mzn4jmmon2v7.cloudfront.net/static/nfts/artworks/b130466c847f4a9db52022a58cd161a5.gif	C:/My%20Web%20Sites/bakery/d2mzn4jmmon2v7.cloudfront.net/static/nfts/artworks/b130466c847f4a9db52022a58cd161a5.gif	(from https://www.bakeryswapes.org/nft.html)
18:17:08	8941371/8941371	---M--	200	added ('OK')	binary/octet-stream	etag:%22a872de9fcac65271f3f522f4ce22d8f3%22	https://d2mzn4jmmon2v7.cloudfront.net/static/nfts/artworks/f48a13f0f083498e812a102468572af5.gif	C:/My%20Web%20Sites/bakery/d2mzn4jmmon2v7.cloudfront.net/static/nfts/artworks/f48a13f0f083498e812a102468572af5.gif	(from https://www.bakeryswapes.org/nft.html)
18:17:20	9257017/9257017	---M--	200	added ('OK')	binary/octet-stream	etag:%229503baa097f17140fd646198d0770077%22	https://d2mzn4jmmon2v7.cloudfront.net/static/nfts/artworks/e196a5c057fb49c28cba5d0f964d0b30.gif	C:/My%20Web%20Sites/bakery/d2mzn4jmmon2v7.cloudfront.net/static/nfts/artworks/e196a5c057fb49c28cba5d0f964d0b30.gif	(from https://www.bakeryswapes.org/nft.html)
18:17:22	2097375/2097375	---M--	200	added ('OK')	binary/octet-stream	etag:%22395afa58c875c25395c48eb9caed2a17%22	https://d2mzn4jmmon2v7.cloudfront.net/static/nfts/artworks/c70fba9cfdcb4487be1845744be09773.jpg	C:/My%20Web%20Sites/bakery/d2mzn4jmmon2v7.cloudfront.net/static/nfts/artworks/c70fba9cfdcb4487be1845744be09773.jpg	(from https://www.bakeryswapes.org/nft.html)
18:17:25	354969/354969	---M--	200	added ('OK')	binary/octet-stream	etag:%22b067b853b0e4455f76f4deb1795a2bde%22	https://d2mzn4jmmon2v7.cloudfront.net/static/nfts/artworks/b82795e81cf14dc08ba980e2a7e0c3ff.png	C:/My%20Web%20Sites/bakery/d2mzn4jmmon2v7.cloudfront.net/static/nfts/artworks/b82795e81cf14dc08ba980e2a7e0c3ff.png	(from https://www.bakeryswapes.org/nft.html)
